epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,40.7999,0.8095,0.77425,1.03624,1,0.99891,0.995,0.54998,1.58948,0.91876,1.46732,0.000515,0.000515,0.000515
77,41.259,0.74282,0.70316,0.95169,1,0.99891,0.995,0.54998,1.58948,0.91876,1.46732,0.0004952,0.0004952,0.0004952
78,41.7251,0.76205,0.74296,0.99417,0.99013,1,0.995,0.58824,1.66775,0.75633,1.58375,0.0004754,0.0004754,0.0004754
79,42.1876,0.8036,0.71334,0.99174,0.99069,1,0.995,0.54336,1.6482,0.77391,1.59747,0.0004556,0.0004556,0.0004556
80,42.6525,0.8197,0.76342,1.01122,0.99182,1,0.995,0.614,1.54337,0.72776,1.4809,0.0004358,0.0004358,0.0004358
81,43.1078,0.74725,0.69664,0.96407,0.99182,1,0.995,0.614,1.54337,0.72776,1.4809,0.000416,0.000416,0.000416
82,43.6091,0.81646,0.69935,1.01135,0.9909,1,0.995,0.63666,1.51544,0.72442,1.48289,0.0003962,0.0003962,0.0003962
83,44.0917,0.79698,0.72288,1.00046,0.9906,1,0.995,0.66012,1.38829,0.67918,1.34296,0.0003764,0.0003764,0.0003764
84,44.5862,0.71127,0.71399,0.95527,0.9907,1,0.995,0.67649,1.25547,0.64192,1.21243,0.0003566,0.0003566,0.0003566
85,45.0411,0.80618,0.70252,0.98446,0.9907,1,0.995,0.67649,1.25547,0.64192,1.21243,0.0003368,0.0003368,0.0003368
86,45.5068,0.78319,0.67071,0.99503,0.99031,1,0.995,0.67844,1.26603,0.62641,1.23941,0.000317,0.000317,0.000317
87,45.974,0.8041,0.71736,1.02259,0.99009,1,0.995,0.6326,1.35891,0.62512,1.28928,0.0002972,0.0002972,0.0002972
88,46.4442,0.72331,0.71301,0.9986,0.98997,1,0.995,0.62458,1.45365,0.63645,1.37099,0.0002774,0.0002774,0.0002774
89,46.8985,0.7427,0.73467,1.00198,0.98997,1,0.995,0.62458,1.45365,0.63645,1.37099,0.0002576,0.0002576,0.0002576
90,47.3647,0.75763,0.67703,0.97742,0.98996,1,0.995,0.60062,1.51483,0.62772,1.43179,0.0002378,0.0002378,0.0002378
91,51.3519,0.7519,0.87136,0.93945,0.99007,1,0.995,0.60062,1.53923,0.64267,1.45797,0.000218,0.000218,0.000218
92,51.845,0.70938,0.83199,0.98583,0.9901,1,0.995,0.58889,1.55041,0.66101,1.47976,0.0001982,0.0001982,0.0001982
93,52.2979,0.81808,0.92216,1.01854,0.9901,1,0.995,0.58889,1.55041,0.66101,1.47976,0.0001784,0.0001784,0.0001784
94,52.777,0.75919,0.85189,0.99746,0.9901,1,0.995,0.58889,1.5498,0.67251,1.50237,0.0001586,0.0001586,0.0001586
95,53.2425,0.69487,0.82244,0.89266,0.99014,1,0.995,0.61142,1.54749,0.63524,1.51471,0.0001388,0.0001388,0.0001388
96,53.7185,0.77806,0.84376,0.98509,0.99036,1,0.995,0.61142,1.5538,0.62353,1.52976,0.000119,0.000119,0.000119
97,54.1679,0.65014,0.80631,0.91498,0.99036,1,0.995,0.61142,1.5538,0.62353,1.52976,9.92e-05,9.92e-05,9.92e-05
98,54.6261,0.742,0.83368,0.97417,0.99036,1,0.995,0.61795,1.54958,0.59468,1.5384,7.94e-05,7.94e-05,7.94e-05
99,55.1299,0.68218,0.84237,0.97102,0.99042,1,0.995,0.61795,1.54263,0.58946,1.53493,5.96e-05,5.96e-05,5.96e-05
100,55.6074,0.69063,0.78884,0.94872,0.99033,1,0.995,0.61795,1.54184,0.59455,1.53292,3.98e-05,3.98e-05,3.98e-05
